职位名,公司名,工作地点,薪资,发布日期
"

                    Python工程师                
",广州华央电子科技有限公司,广州-黄埔区,6-8千/月,10-22
"

                    Python开发工程师                
",广州嘉为科技有限公司,深圳,0.8-1.3万/月,10-22
"

                    高级Python开发工程师（产品开发）                
",翔傲信息科技（上海）有限公司,上海-普陀区,2-2.5万/月,10-22
"

                    python开发项目经理                
",上海犀语科技有限公司,上海-杨浦区,2.6-4万/月,10-22
"

                    Python开发工程师                
",万宝盛华企业管理咨询（上海）有限...,上海-浦东新区,2-3万/月,10-22
"

                    云平台Python开发工程师                
",上海派森诺生物科技股份有限公司,上海,1.2-1.8万/月,10-22
"

                    python开发（可实习)                
",大连开鱼科技有限公司,大连-高新园区,3.5-5千/月,10-22
"

                    Python软件开发工程师                
",威廉欧奈尔信息科技（上海）有限公...,上海-浦东新区,0.8-1.5万/月,10-22
"

                    Python开发工程师4                
",深圳神木源科技有限公司,深圳-南山区,6-8千/月,10-22
"

                    Python开发工程师                
",深圳神木源科技有限公司,深圳-龙华新区,6-8千/月,10-22
"

                    ( [ python爬虫开发工程师 ] )                
",深圳市运维软件有限公司,深圳-南山区,4.5-6千/月,10-22
"

                    python开发工程师                
",南京披云信息科技有限公司,南京-建邺区,0.8-1万/月,10-22
"

                    python后端开发工程师                
",北京创新在线网络技术有限公司,深圳-福田区,0.9-1.8万/月,10-22
"

                    软件测试（C、Python）工程师                
",中国航空无线电电子研究所,上海,,10-22
"

                    Python研发工程师                
",贵州宽凳智云科技有限公司北京分公...,北京,,10-22
"

                    Python软件工程师（长沙）                
",深圳市雄帝科技股份有限公司,长沙,,10-22
"

                    Python开发工程师                
",中之保金融科技有限公司,成都,,10-22
"

                    Python开发工程师                
",上海爱数信息技术股份有限公司,上海,,10-22
"

                    Python开发工程师（南京）                
",南京中新赛克科技有限责任公司,南京,,10-22
"

                    Python开发工程师                
",“前程无忧”51job.com（上海）,上海,,10-22
"

                    Python开发工程师                
",中软国际科技服务有限公司,广州-天河区,1-1.5万/月,10-22
"

                    Python开发工程师/讲师                
",如皋中软国际信息技术有限公司,南通,1.3-1.8万/月,10-22
"

                    Python安全产品研发工程师G00815                
",上海诺亚金融服务有限公司,上海-杨浦区,1-2万/月,10-22
"

                    Python开发工程师                
",深圳市紫川软件有限公司,上海-浦东新区,1-1.5万/月,10-22
"

                    高级Python算法工程师                
",亿翰智库,上海-静安区,2-2.5万/月,10-22
"

                    c++/python讲师+五险一金                
",贵阳市南明区小码教育培训中心有限...,贵阳,0.8-1万/月,10-22
